,ID,lat,long,Sea_level.mm,C,year
2416,10,37.807,-122.465,6954,N,1855
2417,10,37.807,-122.465,6860,N,1856
6950,12,40.7,-74.013,6698,N,1856
2418,10,37.807,-122.465,6873,N,1857
6951,12,40.7,-74.013,6734,N,1857
2419,10,37.807,-122.465,6850,N,1858
6952,12,40.7,-74.013,6700,N,1858
6953,12,40.7,-74.013,6734,N,1859
2420,10,37.807,-122.465,6870,N,1859
6954,12,40.7,-74.013,6710,N,1860
2421,10,37.807,-122.465,6815,N,1860
6955,12,40.7,-74.013,NA,N,1861
2422,10,37.807,-122.465,6785,N,1861
6956,12,40.7,-74.013,6709,N,1862
2423,10,37.807,-122.465,6891,N,1862
2424,10,37.807,-122.465,6816,N,1863
6957,12,40.7,-74.013,6709,N,1863
6958,12,40.7,-74.013,6714,N,1864
2425,10,37.807,-122.465,6876,N,1864
2426,10,37.807,-122.465,6817,N,1865
6959,12,40.7,-74.013,6674,N,1865
6960,12,40.7,-74.013,6687,N,1866
2427,10,37.807,-122.465,6909,N,1866
2428,10,37.807,-122.465,6912,N,1867
6961,12,40.7,-74.013,6730,N,1867
2429,10,37.807,-122.465,6960,N,1868
6962,12,40.7,-74.013,6736,N,1868
2430,10,37.807,-122.465,6921,N,1869
6963,12,40.7,-74.013,6706,N,1869
2431,10,37.807,-122.465,6886,N,1870
6964,12,40.7,-74.013,6769,N,1870
2432,10,37.807,-122.465,6864,N,1871
6965,12,40.7,-74.013,6706,N,1871
2433,10,37.807,-122.465,6911,N,1872
6966,12,40.7,-74.013,6704,N,1872
2434,10,37.807,-122.465,6874,N,1873
6967,12,40.7,-74.013,6722,N,1873
6968,12,40.7,-74.013,6674,N,1874
2435,10,37.807,-122.465,6918,N,1874
2436,10,37.807,-122.465,6901,N,1875
6969,12,40.7,-74.013,6691,N,1875
6970,12,40.7,-74.013,6712,N,1876
2437,10,37.807,-122.465,6960,N,1876
2438,10,37.807,-122.465,6968,N,1877
6971,12,40.7,-74.013,6747,N,1877
2439,10,37.807,-122.465,6987,N,1878
6972,12,40.7,-74.013,6792,N,1878
6973,12,40.7,-74.013,NA,N,1879
2440,10,37.807,-122.465,6908,N,1879
6974,12,40.7,-74.013,NA,N,1880
2441,10,37.807,-122.465,6935,N,1880
6975,12,40.7,-74.013,NA,N,1881
2442,10,37.807,-122.465,6951,N,1881
6976,12,40.7,-74.013,NA,N,1882
2443,10,37.807,-122.465,6912,N,1882
2444,10,37.807,-122.465,6929,N,1883
6977,12,40.7,-74.013,NA,N,1883
6978,12,40.7,-74.013,NA,N,1884
2445,10,37.807,-122.465,7016,N,1884
6979,12,40.7,-74.013,NA,N,1885
2446,10,37.807,-122.465,6971,N,1885
2447,10,37.807,-122.465,6931,N,1886
6980,12,40.7,-74.013,NA,N,1886
6981,12,40.7,-74.013,NA,N,1887
2448,10,37.807,-122.465,6902,N,1887
6982,12,40.7,-74.013,NA,N,1888
2449,10,37.807,-122.465,6920,N,1888
2450,10,37.807,-122.465,6966,N,1889
6983,12,40.7,-74.013,NA,N,1889
2451,10,37.807,-122.465,6978,N,1890
6984,12,40.7,-74.013,NA,N,1890
2452,10,37.807,-122.465,6913,N,1891
6985,12,40.7,-74.013,NA,N,1891
2453,10,37.807,-122.465,6881,N,1892
6986,12,40.7,-74.013,NA,N,1892
2454,10,37.807,-122.465,6911,N,1893
6987,12,40.7,-74.013,6778,N,1893
6988,12,40.7,-74.013,6790,N,1894
2455,10,37.807,-122.465,6901,N,1894
2456,10,37.807,-122.465,6960,N,1895
6989,12,40.7,-74.013,6766,N,1895
6990,12,40.7,-74.013,6790,N,1896
2457,10,37.807,-122.465,6956,N,1896
2458,10,37.807,-122.465,6905,N,1897
6991,12,40.7,-74.013,6812,N,1897
2459,10,37.807,-122.465,6835,N,1898
6992,12,40.7,-74.013,6818,N,1898
4983,112,30.672,-81.465,7058,N,1898
6993,12,40.7,-74.013,6815,N,1899
1814,127,47.602,-122.338,6938,N,1899
4984,112,30.672,-81.465,7104,N,1899
2460,10,37.807,-122.465,6880,N,1899
2461,10,37.807,-122.465,6897,N,1900
1815,127,47.602,-122.338,6988,N,1900
4985,112,30.672,-81.465,7040,N,1900
6994,12,40.7,-74.013,6774,N,1900
