fips_n,state_code,county_code,year,Gini_index,percent_65_older,male_household,female_household,landline_phone, Employment_Employed,speaks_english,speaks_other,two_races_income ,American_Indian_Income,Hispanic_Income,White_Income,Black_Income,Asian_Income,Household_Income, Education_High_School, Education_Bachelor, Employment_Unemployed,Count_ Employment_Potential, Employment_Potential, American_Indian_Pop, Hispanic_Pop, Asian_Pop, White_Pop, Black_Pop, Two_Races_Pop
1003,1,3,2000,,15.4,28488,14483,,57.1,96,0,,,40278,42509,23797,39632,,0.3,,2.6,110146,,,0.02,0,87,10,
1053,1,53,2000,,13.4,21825,11705,,48.3,97.6,0,,,30667,33313,18410,26000,,0.35,,3.6,30231,,,0.01,0,64,31,
1097,1,97,2000,,12,25621,12832,,54.5,95.4,0,,,32128,40746,21008,32886,,0.32,,4.5,302302,,,0.01,0.01,63,33,
1099,1,99,2000,,13.9,22826,11105,,50.3,98,0,,,28611,35069,18761,30909,,34,,4.6,18231,,,0.01,0,58,40,
12005,12,5,2000,,13.3,26006,14393,,55.6,93.6,0.34,,,34508,37843,24622,35810,,30.55,,2.9,116721,,,2.42,1.81,84.18,10.64,
12013,12,13,2000,,13.8,20375,11232,,44.3,94.4,0.24,,,20556,28424,15505,33000,,38.55,,3.1,225.52,,,3.78,0.58,79.87,15.8,
12015,12,15,2000,,34.7,26263,13903,,41.5,91.8,0.4,,,34305,37085,31584,38200,,35.68,,1.5,122147,,,3.3,0.88,92.59,4.39,
12017,12,17,2000,,32.3,23082,11935,,38.6,93.4,0.23,,,26593,31617,26686,45588,,38.03,,2.8,100339,,,2.66,0.79,95.05,2.36,
12021,12,21,2000,,24.4,30636,18303,,50.9,74.9,0.4,,,36356,50384,30121,50962,,26.22,,1.9,206964,,,19.61,0.69,86.06,4.54,
12029,12,29,2000,,17,19811,10470,,41.3,95.6,0.24,,,18500,26951,17907,33333,,39.31,,3.3,241.84,,,1.8,0.28,88.81,8.98,
12033,12,33,2000,,13.3,25301,14208,,51.7,93.2,0.23,,,34785,39426,23484,35245,,28.33,,3.7,233100,,,2.7,2.33,72.35,21.4,
