year,geo_ID,fips_n,county_name_state,Gini_index,percent_65_older,landline_phone,speaks_english,speaks_other,two_races_income ,American_Indian_Income,Hispanic_Income,White_Income,Black_Income,Asian_Income,Household_Income, Education_High_School, Education_Bachelor, American_Indian_Pop, Hispanic_Pop, Asian_Pop, White_Pop, Black_Pop, Two_Races_Pop,male_household,female_household, Employment_Unemployed, Employment_Employed,NonfamilyHouseholdsMedianIncome_Male,NonfamilyHouseholdsMedianIncome_Female
2000,0500000US48007,48007,"Aransas County, Texas",0.463,0.199,0.947875602,0.816058,0.00277843,25341,23226,25000,32200,17576,20652,31159,0.291,0.11,0.083111,0.20318,0.02818,0.87443,0.01431,0.022584,23926,11267,0.038,0.926662,21895,16662
2000,0500000US01003,1003,"Baldwin County, Alabama",0.42,0.154,0.967435304,0.960522,0.000622656,36944,37796,40278,42509,23797,39632,40859,0.296,0.148,0.021578,0.01756,0.0041,0.87146,0.10287,0.0149398,28488,14483,0.026,0.957292,26622,17898
2000,0500000US12005,12005,"Bay County, Florida",0.408,0.133,0.96575331,0.935808,0.00343606,26424,34371,34508,37843,24622,35810,36332,0.306,0.11,0.033823,0.02423,0.01805,0.84175,0.10641,0.0310035,26006,14393,0.029,0.950759,26482,18148
2000,0500000US48039,48039,"Brazoria County, Texas",0.386,0.088,0.969482881,0.786889,0.00298621,39792,36313,37071,51529,37686,70107,49062,0.272,0.138,0.12377,0.22775,0.02033,0.77092,0.08496,0.0263343,32819,16937,0.034,0.94548,31857,21732
2000,0500000US12013,12013,"Calhoun County, Florida",0.403,0.138,0.953670546,0.944381,0.00236503,18500,25175,20556,28424,15505,33000,26797,0.386,0.047,0.037507,0.0378,0.00584,0.79872,0.15795,0.0236581,20375,11232,0.031,0.93511,17500,10275
2000,0500000US48057,48057,"Calhoun County, Texas",0.415,0.134,0.945713518,0.67154,0.000946571,26818,26949,29173,37560,13609,56522,35567,0.331,0.081,0.160023,0.40916,0.03337,0.78036,0.02625,0.0206258,26489,11812,0.043,0.925972,24205,16691
2000,0500000US48061,48061,"Cameron County, Texas",0.475,0.112,0.94245736,0.21064,0.000919305,24587,22904,23137,27230,27793,42847,26405,0.201,0.084,0.187189,0.84342,0.00513,0.80286,0.00482,0.0153784,15848,9844,0.06,0.88618,20083,11582
2000,0500000US22023,22023,"Cameron Parish, Louisiana",0.386,0.105,0.947104677,0.858585,0,31000,30000,27500,35613,13594,42500,34512,0.428,0.054,0.020018,0.02152,0.0046,0.93654,0.03883,0.0108203,25138,10198,0.026,0.953829,20985,12689
2000,0500000US48071,48071,"Chambers County, Texas",0.376,0.089,0.957106904,0.882577,0.000908978,55179,33333,35189,51007,26884,53571,47768,0.325,0.084,0.076787,0.10795,0.00672,0.81883,0.09765,0.0211705,34568,15121,0.032,0.95061,33833,15833
2000,0500000US12015,12015,"Charlotte County, Florida",0.404,0.347,0.990933859,0.917613,0.00397737,29359,30171,34305,37085,31584,38200,36759,0.357,0.109,0.021435,0.03295,0.0088,0.92585,0.04391,0.016721,26263,13903,0.015,0.965453,27637,18742
2000,0500000US12017,12017,"Citrus County, Florida",0.406,0.323,0.984154729,0.934058,0.00234405,29375,31826,26593,31617,26686,45588,31523,0.38,0.083,0.017995,0.0266,0.00791,0.95047,0.02364,0.016122,23082,11935,0.028,0.933414,22789,16516
2000,0500000US12021,12021,"Collier County, Florida",0.486,0.244,0.976644363,0.748672,0.00404886,35552,37488,36356,50384,30121,50962,48794,0.262,0.182,0.087095,0.1961,0.00685,0.86064,0.04543,0.0191652,30636,18303,0.019,0.963339,36873,29014
2000,0500000US12029,12029,"Dixie County, Florida",0.435,0.17,0.905475504,0.955562,0.00237511,20938,22500,18500,26951,17907,33333,26025,0.394,0.037,0.019455,0.01801,0.00275,0.88805,0.08975,0.0149799,19811,10470,0.033,0.925301,15729,10821
