"","STATEFP","COUNTYFP","COUNTYNS","GEOID","NAME","NAMELSAD","LSAD","CLASSFP","MTFCC","CSAFP","CBSAFP","METDIVFP","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON"
"35","48","057","01383814","48057","Calhoun","Calhoun County","06","H1","G4020","544","38920",NA,"A","1312707024","1361884769","+28.4417191","-096.5795739"
"71","12","053","00295751","12053","Hernando","Hernando County","06","H1","G4020",NA,"45300",NA,"A","1224612184","300943525","+28.5730426","-082.4662272"
"72","12","129","00306912","12129","Wakulla","Wakulla County","06","H1","G4020","533","45220",NA,"A","1570625278","334901690","+30.1403575","-084.3751122"
"73","12","131","00295727","12131","Walton","Walton County","06","H1","G4020",NA,"18880",NA,"A","2687681942","522853411","+30.6312106","-086.1766139"
"99","48","391","01383981","48391","Refugio","Refugio County","06","H1","G4020",NA,NA,NA,"A","1995545559","123687613","+28.3127162","-097.1613657"
"197","48","245","01383908","48245","Jefferson","Jefferson County","06","H1","G4020",NA,"13140",NA,"A","2269631416","612122543","+29.8539997","-094.1493306"
"408","12","017","00295752","12017","Citrus","Citrus County","06","H1","G4020",NA,"26140",NA,"A","1507099402","495590953","+28.8436402","-082.5248099"
"478","01","097","00161575","01097","Mobile","Mobile County","06","H1","G4020","380","33660",NA,"A","3184131335","1073840930","+30.6845725","-088.1965682"
"706","48","007","01383789","48007","Aransas","Aransas County","06","H1","G4020","204","18580",NA,"A","652895604","714500539","+28.1042254","-096.9779830"
"713","12","081","00295744","12081","Manatee","Manatee County","06","H1","G4020","412","35840",NA,"A","1924766330","387447446","+27.4816825","-082.3687669"
"721","12","013","00306919","12013","Calhoun","Calhoun County","06","H1","G4020",NA,NA,NA,"A","1469389206","18074798","+30.3888013","-085.1979155"
"780","22","113","00559538","22113","Vermilion","Vermilion Parish","15","H1","G4020","318","29180",NA,"A","3038599776","955342197","+29.7897222","-092.2915678"
"785","22","087","01629542","22087","St. Bernard","St. Bernard Parish","15","H1","G4020","406","35380",NA,"A","977743048","4604211012","+29.9181102","-089.2634941"
"795","01","053","00161552","01053","Escambia","Escambia County","06","H1","G4020","426","12120",NA,"A","2447747107","20872955","+31.1222867","-087.1684097"
"897","01","099","00161576","01099","Monroe","Monroe County","06","H1","G4020",NA,NA,NA,"A","2656518199","22609677","+31.5803324","-087.3832656"
"924","48","273","01383922","48273","Kleberg","Kleberg County","06","H1","G4020","204","28780",NA,"A","2282572442","541041664","+27.4387348","-097.6606203"
"929","12","103","00295745","12103","Pinellas","Pinellas County","06","H1","G4020",NA,"45300",NA,"A","709121803","865923364","+27.9031220","-082.7395180"
"1000","12","037","00306911","12037","Franklin","Franklin County","06","H1","G4020",NA,NA,NA,"A","1411918809","1275529258","+29.8101756","-084.7991742"
"1013","12","101","00295739","12101","Pasco","Pasco County","06","H1","G4020",NA,"45300",NA,"A","1936388730","312918997","+28.3074646","-082.4645839"
"1194","48","469","01384020","48469","Victoria","Victoria County","06","H1","G4020","544","47020",NA,"A","2284644914","17425945","+28.7963699","-096.9711977"
"1242","48","489","01384030","48489","Willacy","Willacy County","06","H1","G4020","154","39700",NA,"A","1529611927","501715022","+26.4803815","-097.5832561"
"1246","01","003","00161527","01003","Baldwin","Baldwin County","06","H1","G4020","380","19300",NA,"A","4117584019","1133130502","+30.6592183","-087.7460666"
"1278","12","029","00295725","12029","Dixie","Dixie County","06","H1","G4020",NA,NA,NA,"A","1826212266","410631095","+29.5808994","-083.1956656"
"1317","48","167","01383869","48167","Galveston","Galveston County","06","H1","G4020","288","26420",NA,"A","981463489","1281660465","+29.2283656","-094.8954263"
"1322","48","201","01383886","48201","Harris","Harris County","06","H1","G4020","288","26420",NA,"A","4415561579","188066851","+29.8572730","-095.3930371"
"1360","12","033","00295737","12033","Escambia","Escambia County","06","H1","G4020","426","37860",NA,"A","1701332835","564141187","+30.6116382","-087.3388996"
"1364","48","239","01383905","48239","Jackson","Jackson County","06","H1","G4020",NA,NA,NA,"A","2148246647","71039573","+28.9598019","-096.5890800"
"1397","12","087","00295759","12087","Monroe","Monroe County","06","H1","G4020",NA,"28580",NA,"A","2545997177","7133387352","+25.6154566","-081.1899714"
"1533","22","075","00558125","22075","Plaquemines","Plaquemines Parish","15","H1","G4020","406","35380",NA,"A","2021056000","4628015820","+29.4023370","-089.2984889"
"1663","12","071","00295758","12071","Lee","Lee County","06","H1","G4020","162","15980",NA,"A","2030766730","1109263864","+26.5590348","-081.8919943"
"1707","12","005","00295738","12005","Bay","Bay County","06","H1","G4020",NA,"37460",NA,"A","1964402055","711451660","+30.2381172","-085.6314303"
"1799","12","065","00295733","12065","Jefferson","Jefferson County","06","H1","G4020","533","45220",NA,"A","1549056457","99567329","+30.4245577","-083.8908594"
"1881","12","075","00295724","12075","Levy","Levy County","06","H1","G4020",NA,NA,NA,"A","2896206271","762912636","+29.2844566","-082.7834620"
"1884","28","045","00711756","28045","Hancock","Hancock County","06","H1","G4020",NA,"25060",NA,"A","1227560683","204096133","+30.3916415","-089.4827905"
"1975","22","051","00558027","22051","Jefferson","Jefferson Parish","15","H1","G4020","406","35380",NA,"A","765682137","897184724","+29.5033000","-090.0362310"
"1976","22","103","01629503","22103","St. Tammany","St. Tammany Parish","15","H1","G4020","406","35380",NA,"A","2190305863","647228592","+30.4100224","-089.9519622"
"1978","22","023","00558488","22023","Cameron","Cameron Parish","15","H1","G4020","324","29340",NA,"A","3327836871","1688122644","+29.8718120","-093.1649478"
"2096","12","091","00306915","12091","Okaloosa","Okaloosa County","06","H1","G4020",NA,"18880",NA,"A","2409367474","393201915","+30.6658510","-086.5941872"
"2119","48","355","01383963","48355","Nueces","Nueces County","06","H1","G4020","204","18580",NA,"A","2171223718","847262030","+27.7387374","-097.5186598"
"2130","22","045","00558576","22045","Iberia","Iberia Parish","15","H1","G4020","318","29180",NA,"A","1486941064","1182115493","+29.6060126","-091.8427057"
"2160","28","047","00695747","28047","Harrison","Harrison County","06","H1","G4020",NA,"25060",NA,"A","1486713864","1063618187","+30.4165357","-089.0833762"
"2184","12","021","00295754","12021","Collier","Collier County","06","H1","G4020","162","34940",NA,"A","5176791360","793072151","+26.1187860","-081.4009553"
"2192","28","059","00695753","28059","Jackson","Jackson County","06","H1","G4020",NA,"25060",NA,"A","1871915875","830485604","+30.4560045","-088.6251005"
"2197","48","071","01383821","48071","Chambers","Chambers County","06","H1","G4020","288","26420",NA,"A","1546603410","709759577","+29.6963741","-094.6694454"
"2213","12","115","00295741","12115","Sarasota","Sarasota County","06","H1","G4020","412","35840",NA,"A","1439490288","438988298","+27.1843855","-082.3658351"
"2225","48","039","01383805","48039","Brazoria","Brazoria County","06","H1","G4020","288","26420",NA,"A","3516716953","649539534","+29.1678175","-095.4346470"
"2244","22","109","00559517","22109","Terrebonne","Terrebonne Parish","15","H6","G4020",NA,"26380",NA,"A","3190255110","2202157453","+29.3341299","-090.8436739"
"2284","48","321","01383943","48321","Matagorda","Matagorda County","06","H1","G4020","288","13060",NA,"A","2830586532","1345801461","+28.7747601","-096.0015316"
"2341","12","123","00295728","12123","Taylor","Taylor County","06","H1","G4020",NA,NA,NA,"A","2702138986","489236302","+30.0099084","-083.6094825"
"2580","12","063","00295734","12063","Jackson","Jackson County","06","H1","G4020",NA,NA,NA,"A","2378066857","94243008","+30.7892500","-085.2088129"
"2670","48","261","01383916","48261","Kenedy","Kenedy County","06","H1","G4020","204","28780",NA,"A","3777375503","1262209501","+26.8902129","-097.5911434"
"2699","22","101","01629492","22101","St. Mary","St. Mary Parish","15","H1","G4020","318","34020",NA,"A","1438845622","1460445312","+29.6293488","-091.4638037"
"2703","22","057","00558065","22057","Lafourche","Lafourche Parish","15","H1","G4020",NA,"26380",NA,"A","2766953347","1037594367","+29.4919925","-090.3948490"
"2705","12","113","00306914","12113","Santa Rosa","Santa Rosa County","06","H1","G4020","426","37860",NA,"A","2620446204","419623254","+30.7018378","-087.0127623"
"2979","22","071","00558113","22071","Orleans","Orleans Parish","15","H6","G4020","406","35380",NA,"C","438799508","467299606","+30.0534195","-089.9345018"
"3030","48","409","01383990","48409","San Patricio","San Patricio County","06","H1","G4020","204","18580",NA,"A","1795990941","37577388","+28.0117944","-097.5171566"
"3105","12","045","00306917","12045","Gulf","Gulf County","06","H1","G4020",NA,"37460",NA,"A","1433785083","494266609","+29.9072571","-085.2565366"
"3149","48","061","01383816","48061","Cameron","Cameron County","06","H1","G4020","154","15180",NA,"A","2307891059","998035120","+26.1029227","-097.4789584"
"3202","12","057","00295757","12057","Hillsborough","Hillsborough County","06","H1","G4020",NA,"45300",NA,"A","2642601017","635592710","+27.9066072","-082.3497186"
"3206","12","015","00295742","12015","Charlotte","Charlotte County","06","H1","G4020","412","39460",NA,"A","1764104250","458735965","+26.8689328","-081.9410769"
