Name,Year,Dates,Surge_FT,Surge_M,Storm_Tide_FT,Storm_Tide_M,Location,State,Lat,Lon,Confidence
Unnamed,1880,Aug 04-14,8,2.44,,,"Near South Padre Island ""Under the Bluff""",TX,26.172,-97.1733,2
Indianola,1886,Aug 12-21,15,4.57,,,Indianola,TX,28.5181,-96.4953,3
Unnamed,1886,Oct 8-13,,,12,3.66,Johnson's Bayou,LA,29.7632,-93.7001,3
Unnamed,1886,Jun 13-15,,,7,2.13,Sabine Pass,TX,29.6833,-94.0333,3
Unnamed,1886,Sep 16-24,,,6,1.83,Indianola,TX,28.5181,-96.4953,2
Unnamed,1888,Oct 8-12,9,2.74,,,Cedar Key,FL,29.1363,-83.0373,3
Unnamed,1888,Aug 14-24,,,5.87,1.79,Mobile,AL,30.6949,-88.04,1
Cheniere Caminada,1893,Sep 27- Oct 5,,,16,4.88,Cheniere Caminada (W of Grand Isle),LA,29.2097,-90.0506,3
Unnamed,1894,Oct 1-12,,,5,1.52,Fort Morgan,AL,30.2328,-87.9534,1
Unnamed,1895,Aug 22-30,,,4,1.22,Velasco,TX,28.9557,-95.357,1
Unnamed,1896,Sep 22-30,10,3.05,,,Cedar Key,FL,29.1397,-83.0419,3
Unnamed,1896,Jul 4-12,5,1.52,,,Pensacola,FL,30.4212,-87.22,2
Unnamed,1897,Sep 10-13,,,6,1.83,Sabine Pass,TX,29.7194,-93.8639,3
Unnamed,1899,Jul 28- Aug 2,4,1.22,,,Carrabelle,FL,29.8439,-84.6644,2
Galveston,1900,Aug 27- Sep 15,,,20,6.1,Galveston,TX,29.2889,-94.7894,3
Unnamed,1901,Aug 2-18,,,8.2,2.5,Mobile,AL,30.6775,-88.0381,3
Unnamed,1901,Aug 2-18,,,8,2.44,Port Eads,LA,29.0169,-89.1708,3
Unnamed,1901,Jul 1-10,,,4.5,1.37,Galveston,TX,29.2889,-94.7894,2
Unnamed,1903,Sep 9-16,,,10,3.05,Apalachicola,FL,29.7209,-84.9811,3
Unnamed,1906,Sep 19-30,,,14,4.27,"Galt, Santa Rosa County",FL,30.3575,-86.9997,3
Grand Isle,1909,Sep 13-22,,,15,4.57,Sea Breeze (Mouth of Bayou Terrebonne/ Terr Bay),LA,29.2542,-90.5914,3
Velasco,1909,Jul 13-22,,,10,3.05,Galveston and Velasco,TX,29.1081,-95.0881,3
Unnamed,1909,Jun 25-30,,,7,2.13,S Padre Island,TX,26.1119,-97.1644,3
Unnamed,1910,Oct 9-23,,,15,4.57,Key West,FL,24.5456,-81.8025,3
Unnamed,1911,Aug 8-14,,,1,0.3,Pensacola,FL,30.4212,-87.22,3
Unnamed,1912,Oct 11-18,,,6,1.83,Point Isabel,TX,26.0785,-97.2065,3
Unnamed,1912,Sep 10-15,,,4.4,1.34,Mobile,AL,30.6775,-88.0381,3
Unnamed,1913,Jun 21-29,,,1.4,0.43,Galveston,TX,29.2811,-94.8258,
Galveston,1915,Aug 5-23,,,15.5,4.72,GLS seawall (Galveston?),TX,29.2889,-94.7894,3
New Orleans,1915,Sep 21- Oct 1,,,17,5.18,"Southeastern LA, S of New Orleans",LA,29.5797,-89.9017,2
Carrabelle,1915,Aug 31- Sep 6,,,7,2.13,Carrabelle,FL,29.8458,-84.6621,3
Unnamed,1916,Oct 9-19,4,1.22,,,Mobile,AL,30.6775,-88.0381,2
Unnamed,1916,Jun 28- Jul 10,,,11.6,3.54,Mobile,AL,30.6775,-88.0381,3
Unnamed,1916,Aug 12-20,,,9.2,2.8,Corpus Christi,TX,27.7997,-97.3911,3
Unnamed,1917,Sep 20-30,,,7.8,2.38,Fort Barrancas,FL,30.3451,-87.2975,2
Unnamed,1918,Aug 1-7,,,3,,Morgan City,LA,29.6886,-91.2081,
Unnamed,1919,Sep 2-16,,,16,4.88,W shore Nueces Bay (near Corpus Christi),TX,27.8612,-97.4837,2
Unnamed,1919,Sep 2-16,,,14,4.27,Cow Key,FL,24.5597,-81.7397,2
Unnamed,1920,Sep 16-23,,,6,1.83,Lake Borgne and Mississippi Sound,MS/ LA,30.2625,-89.3939,3
Unnamed,1920,Sep 25-30,,,5,1.52,Tampa,FL,27.9403,-82.4601,3
