"","STATEFP","COUNTYFP","COUNTYNS","GEOID","NAME","NAMELSAD","LSAD","CLASSFP","MTFCC","CSAFP","CBSAFP","METDIVFP","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","Sea_level.mm","year"
"0","48","057","01383814","48057","Calhoun","Calhoun County","06","H1","G4020","544","38920",NA,"A","1312707024","1361884769","+28.4417191","-096.5795739",7008.49992895721,1978
"1","12","053","00295751","12053","Hernando","Hernando County","06","H1","G4020",NA,"45300",NA,"A","1224612184","300943525","+28.5730426","-082.4662272",7031.32362856732,1978
"2","12","129","00306912","12129","Wakulla","Wakulla County","06","H1","G4020","533","45220",NA,"A","1570625278","334901690","+30.1403575","-084.3751122",7013.60586549928,1978
"3","12","131","00295727","12131","Walton","Walton County","06","H1","G4020",NA,"18880",NA,"A","2687681942","522853411","+30.6312106","-086.1766139",7017.13804084182,1978
"4","48","391","01383981","48391","Refugio","Refugio County","06","H1","G4020",NA,NA,NA,"A","1995545559","123687613","+28.3127162","-097.1613657",7000.65943717565,1978
"5","48","245","01383908","48245","Jefferson","Jefferson County","06","H1","G4020",NA,"13140",NA,"A","2269631416","612122543","+29.8539997","-094.1493306",7051.47513795757,1978
"6","12","017","00295752","12017","Citrus","Citrus County","06","H1","G4020",NA,"26140",NA,"A","1507099402","495590953","+28.8436402","-082.5248099",7028.91750123512,1978
"7","01","097","00161575","01097","Mobile","Mobile County","06","H1","G4020","380","33660",NA,"A","3184131335","1073840930","+30.6845725","-088.1965682",6994.8457548061,1978
"8","48","007","01383789","48007","Aransas","Aransas County","06","H1","G4020","204","18580",NA,"A","652895604","714500539","+28.1042254","-096.9779830",6982.83451317243,1978
"9","12","081","00295744","12081","Manatee","Manatee County","06","H1","G4020","412","35840",NA,"A","1924766330","387447446","+27.4816825","-082.3687669",7031.20164590192,1978
"10","12","013","00306919","12013","Calhoun","Calhoun County","06","H1","G4020",NA,NA,NA,"A","1469389206","18074798","+30.3888013","-085.1979155",7010.97642221024,1978
"11","22","113","00559538","22113","Vermilion","Vermilion Parish","15","H1","G4020","318","29180",NA,"A","3038599776","955342197","+29.7897222","-092.2915678",7030.5515998066,1978
"12","22","087","01629542","22087","St. Bernard","St. Bernard Parish","15","H1","G4020","406","35380",NA,"A","977743048","4604211012","+29.9181102","-089.2634941",7012.41345643293,1978
"13","01","053","00161552","01053","Escambia","Escambia County","06","H1","G4020","426","12120",NA,"A","2447747107","20872955","+31.1222867","-087.1684097",7016.69131282166,1978
